 -0.1720641610D+09,  -0.1746660000D+06,   0.3338600000D+05,   0.9205233100D+08,   0.9086000000D+04,   0.1537700000D+05
 -0.1317090600D+08,  -0.1675000000D+04,  -0.1369600000D+05,   0.5730336000D+07,  -0.3015000000D+04,  -0.4587000000D+04
 -0.2276413000D+07,  -0.2340000000D+03,   0.2796000000D+04,   0.9784590000D+06,  -0.4850000000D+03,   0.1374000000D+04
  0.2074554000D+07,   0.2070000000D+03,  -0.6980000000D+03,  -0.8974920000D+06,   0.4700000000D+03,  -0.2910000000D+03
  0.1475877000D+07,  -0.3633000000D+04,   0.1181700000D+05,   0.7387100000D+05,  -0.1840000000D+03,  -0.1924000000D+04
 -0.5168210000D+06,   0.1226000000D+04,  -0.5240000000D+03,   0.2243860000D+06,  -0.6770000000D+03,  -0.1740000000D+03
  0.7111590000D+06,   0.7300000000D+02,  -0.8720000000D+03,  -0.6750000000D+04,   0.0000000000D+00,   0.3580000000D+03
 -0.3872980000D+06,  -0.3670000000D+03,   0.3800000000D+03,   0.2007280000D+06,   0.1800000000D+02,   0.3180000000D+03
 -0.3014610000D+06,  -0.3600000000D+02,   0.8160000000D+03,   0.1290250000D+06,  -0.6300000000D+02,   0.3670000000D+03
  0.2158290000D+06,  -0.4940000000D+03,   0.1110000000D+03,  -0.9592900000D+05,   0.2990000000D+03,   0.1320000000D+03
  0.1282270000D+06,   0.1370000000D+03,   0.1810000000D+03,  -0.6898200000D+05,  -0.9000000000D+01,   0.3900000000D+02
  0.1234570000D+06,   0.1100000000D+02,   0.1900000000D+02,  -0.5331100000D+05,   0.3200000000D+02,  -0.4000000000D+01
  0.1569940000D+06,   0.1000000000D+02,  -0.1680000000D+03,  -0.1235000000D+04,   0.0000000000D+00,   0.8200000000D+02
  0.6311000000D+05,   0.6300000000D+02,   0.2700000000D+02,  -0.3322800000D+05,   0.0000000000D+00,  -0.9000000000D+01
 -0.5797600000D+05,  -0.6300000000D+02,  -0.1890000000D+03,   0.3142900000D+05,   0.0000000000D+00,  -0.7500000000D+02
 -0.5964100000D+05,  -0.1100000000D+02,   0.1490000000D+03,   0.2554300000D+05,  -0.1100000000D+02,   0.6600000000D+02
 -0.5161300000D+05,  -0.4200000000D+02,   0.1290000000D+03,   0.2636600000D+05,   0.0000000000D+00,   0.7800000000D+02
  0.4589300000D+05,   0.5000000000D+02,   0.3100000000D+02,  -0.2423600000D+05,  -0.1000000000D+02,   0.2000000000D+02
  0.6338400000D+05,   0.1100000000D+02,  -0.1500000000D+03,  -0.1220000000D+04,   0.0000000000D+00,   0.2900000000D+02
 -0.3857100000D+05,  -0.1000000000D+01,   0.1580000000D+03,   0.1645200000D+05,  -0.1100000000D+02,   0.6800000000D+02
