14430	44.1006	15.3388	79.00
14240	45.8214	16.0347	122.00
8579	38.7664	-9.1300	105.00
10954	47.8400	10.8800	739.00
10238	52.8200	9.9300	69.00
10200	53.3900	7.2300	5.00
10410	51.4000	6.9700	153.00
10184	54.1000	13.4000	6.00
10962	47.8000	11.0100	986.00
10618	49.7000	7.3300	377.00
10771	49.4280	11.9020	418.00
10393	52.2090	14.1200	115.00
10548	50.5700	10.3800	453.00
10304	52.7150	7.3180	41.00
10868	48.2440	11.5520	489.00
10035	54.5270	9.5490	48.00
10739	48.8300	9.2000	311.00
10113	53.7120	7.1520	11.00
8001	43.3700	-8.4200	67.00
8221	40.4650	-3.5800	631.00
8430	38.0020	-1.1710	62.00
8302	39.6000	2.7000	41.00
8023	43.4800	-3.8000	59.00
8160	41.6620	-1.0010	258.00
8190	41.6200	2.2000	98.00
3953	51.9300	-10.2500	30.00
26038	59.3800	24.5800	34.00
7761	41.9200	8.8000	9.00
7510	44.8300	-0.7000	54.00
7110	48.4500	-4.4200	95.00
7481	45.7300	5.0800	240.00
7180	48.6900	6.2200	217.00
7645	43.8700	4.4000	62.00
7145	48.7700	2.0100	168.00
3502	52.1379	-4.5651	134.00
3238	55.0213	-1.8729	145.00
3808	50.2186	-5.3263	88.00
3918	54.5022	-6.3428	37.00
3882	50.8910	0.3164	52.00
3743	51.2000	-1.8000	132.00
3354	53.0056	-1.2513	117.00
3693	51.5545	0.8262	3.00
12843	47.4293	19.1819	139.00
12982	46.2558	20.0905	83.00
6610	46.8128	6.9434	491.00
16113	44.5386	7.6124	386.00
16080	45.4605	9.2602	103.00
16045	45.9753	13.0488	94.00
16144	44.6542	11.6230	10.00
16245	41.6704	12.4504	32.00
16320	40.6577	17.9516	15.00
16429	37.9140	12.4944	14.00
16546	39.2433	9.0600	28.00
1152	67.2500	14.4000	20.00
1241	63.7000	9.6000	10.00
1400	56.5471	3.2139	29.00
1415	58.8798	5.6437	37.00
26629	54.8800	23.8800	77.00
15614	42.6539	23.3832	595.00
11240	46.9939	15.4470	330.00
11120	47.2556	11.3500	579.00
11010	48.2300	14.1805	313.00
11035	48.2486	16.3566	195.00
2963	60.8146	23.4987	103.00
2935	62.4000	25.6800	145.00
2836	67.3663	26.6312	179.00
11520	50.0075	14.4459	303.00
11747	49.4563	17.1316	216.00
11952	49.0300	20.3100	706.00
6458	50.7616	4.7934	127.00
6447	50.7980	4.3573	104.00
6496	50.4700	6.1700	104.00
6011	62.0100	-6.7600	56.00
6260	52.1000	5.1768	4.00
6235	52.9223	4.7833	14.00
14015	46.0656	14.5125	298.00
2527	57.6573	12.2911	164.00
2185	65.5500	22.1300	34.00
2365	62.5318	17.4361	6.00
2591	57.6405	18.3567	47.00
12120	54.7536	17.5347	6.00
12425	51.1137	16.9817	122.00
16622	40.511	22.9710	4.00
16754	35.335	25.1820	39.00
15120	46.78	23.5600	413.00
15420	44.511	26.0770	91.00
13275	44.771	20.4240	203.00
8495	36.1500	-5.3500	4.00
